,x0,x1,y1,x2,y2,x3,y3,x4,y4
0,41.084881786530886,41.084881786530886,1,41.084881786530886,1,41.084881786530886,81,41.084881786530886,110
1,50.1344686391204,50.1344686391204,1,50.1344686391204,1,50.1344686391204,80,50.1344686391204,108
2,58.39331578791459,58.39331578791459,80,58.39331578791459,5,58.78028811039417,83,58.39331578791459,111
3,66.19789708416548,66.19789708416548,1,66.19789708416548,1,66.19789708416548,81,66.19789708416548,111
4,71.85359105453111,71.85359105453111,174,71.85359105453111,2,73.23215451267775,83,71.85359105453111,109
5,81.45477928014168,81.45477928014168,348,81.45477928014168,9,81.65740965442942,82,81.45477928014168,111
6,87.86218438339797,87.86218438339797,656,87.86218438339797,15,89.70291597498863,85,87.95810805940206,110
7,97.37621114392313,97.37621114392313,143,97.37621114392313,1980,99.29124495741792,84,98.14301913212041,112
8,102.74216425667144,102.74216425667144,1307,102.74216425667144,239,106.49336469887558,84,102.74216425667144,109
9,111.37641642835783,111.37641642835783,8634,111.37641642835783,7729,112.84509191081813,84,112.06300126328804,110
10,115.91359835004943,115.91359835004943,35482,115.91359835004943,2199,120.29649278235313,87,115.91359835004943,108
11,124.35346754731007,124.35346754731007,55707,124.35346754731007,38427,129.27167846032998,83,124.35346754731007,110
12,131.8692669427796,131.8692669427796,60461,131.8692669427796,20378,140.46421798329615,86,131.8692669427796,107
13,140.55724536361038,140.79879963350098,500000,140.55724536361038,139967,146.51847609026694,84,140.55724536361038,110
14,148.9105773305237,148.9105773305237,133789,148.9105773305237,55276,153.13341260469727,83,149.27890933447046,110
15,152.9394477184869,153.23585028365855,500000,152.9394477184869,143034,163.41642692340514,91,153.23585028365855,110
16,162.3951147332351,162.96338972445687,500000,162.3951147332351,348212,173.8033003190569,87,162.67925844386488,111
17,168.35105270776555,169.56465363585713,500000,168.35105270776555,80216,176.3440356008539,85,170.85318150590302,110
18,176.29051044805988,176.29051044805988,229682,177.5162332690423,500000,187.2024715900324,92,178.14172309003573,112
19,185.14332727166206,187.41385925547624,500000,186.71736886153067,500000,193.36204137390976,84,188.73378502182447,110
