,x0,x1,y1,x3,y3,x4,y4
0,0.0,0.0,45,2.0,84,0.0,108
1,2.0,0.0,1,0.0,79,0.0,108
2,2.0,0.0,428,2.0,81,0.0,109
3,0.0,0.0,1,0.0,78,0.0,108
4,0.0,0.0,35,2.0,82,0.0,110
5,0.0,0.0,33,2.0,82,0.0,108
6,0.0,0.0,1,0.0,74,0.0,103
7,0.0,0.0,7,2.0,83,0.0,111
8,2.0,0.0,943,2.0,82,0.0,107
9,0.0,0.0,136,2.0,88,0.0,108
10,0.0,0.0,113,2.0,82,0.0,104
11,0.0,0.0,324,2.8284271247461903,83,0.0,108
12,0.0,0.0,1,0.0,76,0.0,105
13,0.0,0.0,1,0.0,69,0.0,98
14,2.8284271247461903,0.0,329,2.0,82,0.0,109
15,0.0,0.0,1,0.0,75,0.0,104
16,0.0,0.0,1,0.0,77,0.0,106
17,0.0,0.0,1,0.0,79,0.0,107
18,0.0,0.0,1,0.0,79,0.0,108
19,2.0,0.0,90,2.0,81,0.0,110
20,0.0,0.0,1,0.0,78,0.0,107
21,0.0,0.0,1,0.0,71,0.0,99
22,0.0,0.0,1,0.0,81,0.0,110
23,0.0,0.0,1,0.0,74,0.0,103
24,0.0,0.0,1,0.0,72,0.0,100
25,2.0,0.0,10,2.0,83,0.0,111
26,0.0,0.0,1,0.0,79,0.0,108
27,0.0,0.0,1,0.0,63,0.0,92
28,0.0,0.0,36,2.0,86,0.0,105
29,2.0,0.0,202,2.8284271247461903,84,0.0,108
30,0.0,0.0,1,0.0,79,0.0,108
31,0.0,0.0,1,0.0,74,0.0,103
32,0.0,0.0,1,0.0,78,0.0,107
33,2.0,0.0,116,2.0,84,0.0,108
34,0.0,0.0,1,0.0,70,0.0,98
35,0.0,0.0,1,0.0,78,0.0,107
36,0.0,0.0,1,0.0,79,0.0,108
37,0.0,0.0,1,0.0,78,0.0,108
38,2.0,0.0,935,2.8284271247461903,86,0.0,109
39,0.0,0.0,273,2.0,84,0.0,110
40,0.0,0.0,1,0.0,78,0.0,107
41,0.0,0.0,39,2.0,86,0.0,105
42,0.0,0.0,1,0.0,70,0.0,98
43,0.0,0.0,1,0.0,74,0.0,104
44,0.0,0.0,1,0.0,78,0.0,107
45,2.0,0.0,346,2.0,81,0.0,109
46,0.0,0.0,1,0.0,81,0.0,111
47,0.0,0.0,1,0.0,71,0.0,99
48,0.0,0.0,1,0.0,81,0.0,110
49,2.0,0.0,52,2.0,83,0.0,108
50,2.0,0.0,578,2.8284271247461903,83,0.0,105
51,0.0,0.0,1,0.0,81,0.0,111
52,2.0,0.0,1,0.0,80,0.0,109
53,0.0,0.0,1,0.0,77,0.0,106
54,0.0,0.0,1,0.0,82,0.0,111
55,0.0,0.0,1,0.0,81,0.0,110
56,0.0,0.0,1,0.0,79,0.0,108
57,0.0,0.0,1,0.0,82,0.0,111
58,0.0,0.0,1,0.0,76,0.0,105
59,0.0,0.0,1,0.0,78,0.0,107
60,0.0,0.0,21,2.0,82,0.0,109
61,0.0,0.0,1,0.0,80,0.0,108
62,0.0,0.0,1,0.0,75,0.0,103
63,0.0,0.0,104,2.0,90,0.0,107
64,2.0,0.0,5154,2.0,84,0.0,103
65,0.0,0.0,107,2.0,85,0.0,106
66,2.0,0.0,1,0.0,79,0.0,108
67,0.0,0.0,56,2.0,89,0.0,102
68,0.0,0.0,1,0.0,74,0.0,102
69,0.0,0.0,1,0.0,72,0.0,100
70,0.0,0.0,1,0.0,73,0.0,103
71,0.0,0.0,1,0.0,57,0.0,85
72,0.0,0.0,1,0.0,81,0.0,110
73,2.0,0.0,133,2.0,82,0.0,109
74,2.0,0.0,74,2.0,82,0.0,107
75,0.0,0.0,1,0.0,75,0.0,104
76,0.0,0.0,1,0.0,64,0.0,92
77,0.0,0.0,269,2.0,84,0.0,107
78,0.0,0.0,1,0.0,76,0.0,105
79,2.0,0.0,989,2.0,86,0.0,108
80,0.0,0.0,1,0.0,75,0.0,103
81,0.0,0.0,1,0.0,79,0.0,108
82,0.0,0.0,1,0.0,75,0.0,104
83,0.0,0.0,1,0.0,79,0.0,107
84,2.0,0.0,148,2.0,82,0.0,107
85,2.0,0.0,1,0.0,82,0.0,111
86,0.0,0.0,1,0.0,78,0.0,107
87,0.0,0.0,1,0.0,74,0.0,103
88,0.0,0.0,139,2.0,83,0.0,112
89,2.0,0.0,1,0.0,79,0.0,108
90,0.0,0.0,1,0.0,81,0.0,110
91,0.0,0.0,1,0.0,76,0.0,105
92,0.0,0.0,1,0.0,78,0.0,107
93,0.0,0.0,1,0.0,80,0.0,111
94,2.0,0.0,194,2.8284271247461903,87,0.0,105
95,0.0,0.0,13,2.0,86,0.0,109
96,0.0,0.0,1,0.0,76,0.0,104
97,0.0,0.0,1,0.0,79,0.0,108
98,0.0,0.0,251,2.0,82,0.0,111
99,0.0,0.0,1,0.0,81,0.0,110
