,x3,y3,x4,y4
0,0.0,938,0.0,1836
1,2.0,472,0.0,915
2,2.0,319,0.0,608
3,2.0,243,0.0,454
4,2.0,197,0.0,362
5,2.0,167,0.0,301
6,2.0,145,0.0,257
7,2.0,129,0.0,224
8,2.0,116,0.0,198
9,2.0,106,0.0,178
10,2.0,97,0.0,161
11,2.0,90,0.0,147
12,2.0,84,0.0,135
13,2.0,79,0.0,125
14,2.0,75,0.0,116
15,2.0,71,0.0,109
16,2.0,67,0.0,102
17,2.0,64,0.0,96
18,2.0,61,0.0,91
19,2.0,59,0.0,86
20,2.0,56,0.0,81
21,2.0,54,0.0,77
22,2.0,52,0.0,74
23,2.0,50,0.0,70
24,2.0,49,0.0,67
25,2.0,47,0.0,65
26,2.0,46,0.0,62
27,2.0,44,0.0,59
28,2.0,43,0.0,57
29,2.0,42,0.0,55
30,2.0,40,0.0,53
31,2.0,39,0.0,51
32,2.0,38,0.0,50
33,2.0,37,0.0,48
34,2.0,36,0.0,46
35,2.0,35,0.0,45
36,2.0,35,0.0,44
37,2.0,34,0.0,42
38,2.0,33,0.0,41
39,2.0,32,0.0,40
40,2.0,32,0.0,38
41,2.0,31,0.0,37
42,2.0,30,0.0,36
43,2.0,30,0.0,35
44,2.0,29,0.0,35
45,2.0,28,0.0,34
46,2.0,28,0.0,33
47,2.0,27,0.0,32
48,2.0,27,0.0,31
49,2.0,26,0.0,31
50,2.0,26,0.0,30
51,2.0,25,0.0,30
52,2.0,25,0.0,29
53,2.0,24,0.0,28
54,2.0,24,0.0,28
55,2.0,23,0.0,27
56,2.0,23,0.0,26
57,2.0,23,0.0,26
58,2.0,22,0.0,25
59,2.0,22,0.0,25
60,2.0,21,0.0,24
61,2.0,21,0.0,24
62,2.0,21,0.0,24
63,2.0,20,0.0,23
64,2.0,20,0.0,23
65,2.0,20,0.0,22
66,2.0,19,0.0,22
67,2.0,19,0.0,22
68,2.0,19,0.0,21
69,2.0,19,0.0,21
70,2.0,18,0.0,20
71,2.0,18,0.0,20
72,2.0,18,0.0,20
73,2.0,17,0.0,19
74,2.0,17,0.0,19
75,2.0,17,0.0,19
76,2.0,17,0.0,18
77,2.0,16,0.0,18
78,2.0,16,0.0,18
79,2.0,16,0.0,18
80,2.0,16,0.0,17
81,2.0,16,0.0,17
82,2.0,15,0.0,17
83,2.0,15,0.0,16
84,2.0,15,0.0,16
85,2.0,15,0.0,16
86,2.0,15,0.0,16
87,2.0,14,0.0,15
88,2.0,14,0.0,15
89,2.0,14,0.0,15
90,2.0,14,0.0,15
91,2.0,14,0.0,15
92,2.0,13,0.0,14
93,2.0,13,0.0,14
94,2.0,13,0.0,14
95,2.0,13,0.0,14
96,2.0,13,0.0,14
97,2.0,13,0.0,13
98,2.0,12,0.0,13
99,2.0,12,0.0,13
100,2.0,12,0.0,13
101,2.0,12,0.0,13
102,2.0,12,0.0,13
103,2.0,12,0.0,12
104,2.0,11,0.0,12
105,2.0,11,0.0,12
106,2.0,11,0.0,12
107,2.0,11,0.0,12
108,2.0,11,0.0,12
109,2.0,11,0.0,12
110,2.0,11,0.0,12
111,2.0,10,0.0,12
112,2.0,10,0.0,12
113,2.0,10,0.0,12
114,2.0,10,0.0,12
115,2.0,10,0.0,12
