,x0,x1,y1,x2,y2,x3,y3,x4,y4
0,101.5344961337651,101.5344961337651,27134,101.5344961337651,11290,117.05169366669986,97,101.5344961337651,109
1,107.20713873197813,107.20713873197813,7782,107.20713873197813,2235,113.34912754612392,84,107.20713873197813,108
2,109.94696074640555,109.94696074640555,1980,109.94696074640555,14738,115.26085287202844,86,111.98666560414203,110
3,108.99472330147111,108.99472330147111,3616,108.99472330147111,3484,110.22206603792141,81,109.67717474837322,110
4,111.7023740149281,111.7023740149281,12009,111.7023740149281,6532,114.45542871459433,86,112.20264762776031,112
5,110.79898678652961,110.79898678652961,280,110.79898678652961,3783,115.38687658643423,87,110.79898678652961,110
6,112.8501361095723,112.8501361095723,6597,112.8501361095723,8244,115.97941245741912,85,113.74735498845565,112
7,113.46468462514684,113.46468462514684,5642,113.46468462514684,5179,118.7199135362048,86,115.03661147863744,112
8,112.7288381917041,112.7288381917041,10767,112.7288381917041,11656,115.64616484765155,83,113.67921220942385,112
9,112.95869969102446,112.95869969102446,2117,112.95869969102446,2189,113.18660136720752,82,113.18660136720752,111
10,113.99883209838248,113.99883209838248,4335,113.99883209838248,4503,115.43635163137763,82,114.58436878237187,109
11,113.6666759828016,113.6666759828016,18370,113.6666759828016,11719,117.22451999307998,86,113.6666759828016,111
12,113.43775039906325,113.43775039906325,13877,113.43775039906325,2190,115.83457075282125,84,114.04877007140033,111
13,113.03959458863204,113.03959458863204,13617,113.03959458863204,9373,115.56527132856353,83,114.09021184874901,112
14,114.19844449595261,114.19844449595261,8597,114.19844449595261,20292,116.56229443589379,83,114.66182171369364,110
15,113.47255823653606,113.47255823653606,1913,113.47255823653606,30297,116.41715472198658,83,113.57120535534432,109
16,112.25045150828099,112.25045150828099,4273,112.25045150828099,5494,116.97800542183673,84,113.14251620060192,111
17,113.51224727652585,113.51224727652585,2397,113.51224727652585,4380,117.21980007233402,84,114.09590401452226,111
18,113.35508252638235,113.35508252638235,2545,113.35508252638235,3589,116.61620259767278,84,113.76544059168278,110
19,114.05910382659056,114.05910382659056,4651,114.05910382659056,4781,116.15224154895678,83,114.76011877743862,109
20,114.13785083332469,114.13785083332469,3921,114.13785083332469,5230,115.34487599615998,82,114.13785083332469,109
21,114.06445078080189,114.06445078080189,7435,114.06445078080189,9420,114.93885155515058,83,114.24511248431835,110
22,113.94079487359947,113.94079487359947,6512,113.94079487359947,23876,116.2662643042519,83,114.46250837076096,110
23,113.36239291830312,113.36239291830312,1292,113.36239291830312,25520,114.24587255556871,81,113.40960639200215,110
24,113.9718747324608,113.9718747324608,9548,113.9718747324608,5526,115.77674847191595,82,114.04588910090114,110
25,114.1183889521502,114.1183889521502,5823,114.1183889521502,69,114.32498908871447,81,114.15668680497812,109
26,114.4765252946978,114.4765252946978,5703,114.4765252946978,14599,117.68945819419548,84,114.81430400219892,110
27,114.42133049517862,114.42133049517862,14918,114.42133049517862,10045,115.3990217489243,82,114.86394958893433,110
28,113.49209019258981,113.49209019258981,1,113.49209019258981,1,113.49209019258981,81,113.49209019258981,110
29,113.7756761877115,113.7756761877115,5676,113.7756761877115,11654,115.7312437716223,83,113.95870953684376,110
30,113.49242906820076,113.49242906820076,17966,113.49242906820076,9196,115.70119633981054,84,114.17686513301962,111
31,114.40361699484691,114.40361699484691,87628,114.40361699484691,24697,115.02095277588107,81,114.62085706448653,110
32,115.00336619833085,115.00336619833085,9588,115.00336619833085,4398,116.66568183583377,83,115.31698139388087,110
33,113.74815745387097,113.74815745387097,10724,113.74815745387097,16909,116.40329331569869,82,114.1194315147486,111
34,114.38100222350886,114.38100222350886,23760,114.38100222350886,4209,115.80695666371618,83,114.87579553720042,110
35,114.08946448115844,114.08946448115844,13356,114.08946448115844,7,114.79607846676679,82,114.08946448115844,111
36,114.30932681224148,114.30932681224148,4119,114.30932681224148,28766,115.90736707696918,83,114.55252016113982,110
37,115.27493894019892,115.27493894019892,69716,115.27493894019892,20140,116.97975928138537,83,115.600794554341,110
38,114.79412822279068,114.79412822279068,2880,114.79412822279068,5019,115.72938854083135,82,115.25826745439082,111
39,114.66024423154133,114.66024423154133,5423,114.66024423154133,15430,115.56232905139191,82,115.22358341234165,111
40,114.84469118492706,114.84469118492706,3640,114.84469118492706,47907,116.46098761183367,82,115.32840899630578,110
41,114.90384592848022,114.90384592848022,19170,114.90384592848022,17563,115.63827141184471,82,114.90384592848022,111
42,114.89603377621022,114.89603377621022,41329,114.89603377621022,43174,116.27180174692843,82,114.89603377621022,110
43,114.46200080676235,114.46200080676235,894,114.46200080676235,21261,116.43794802223483,82,114.46200080676235,109
44,114.29914338520192,114.29914338520192,21308,114.29914338520192,5021,115.86238903256988,82,114.85574646429318,111
45,115.25751563477674,115.25751563477674,3026,115.25751563477674,7932,115.85197726846926,82,115.32174104413141,110
46,114.83794590217312,114.83794590217312,3362,114.83794590217312,3222,116.49882405962109,82,115.10749451725239,110
47,114.2782514712433,114.2782514712433,10338,114.2782514712433,4,114.85925057620543,82,114.2782514712433,111
48,114.44606368793602,114.44606368793602,49285,114.44606368793602,101,114.97148954757233,82,114.50852563894198,110
49,114.6290654767089,114.6290654767089,2472,114.6290654767089,15563,115.67879753422446,82,114.6290654767089,109
